WireID;WireKey;Color;CrossSectionMM2;CrossSectionAWG;WireInformation;WireName;Customer;MinimumBendRadius;OuterDiameter;FontKey;EmptyField1;EmptyField2;EmptyField3
OG/WH250;OG/WH250;OG/WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH150;DBU/WH150;DBU/WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH250;DBU/WH250;DBU/WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH075;DBU/WH075;DBU/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
RD/WH075;RD/WH075;RD/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
RD/WH100;RD/WH100;RD/WH;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD/WH150;RD/WH150;RD/WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD/WH250;RD/WH250;RD/WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH100;DBU/WH100;DBU/WH;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
OG600;OG600;OG;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
OG1600;OG1600;OG;16;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU1000;DBU1000;DBU;10;;;;;;1;FONT_WHITE_4.0-6.0;;;
WH1000;WH1000;WH;10;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU/WH1000;DBU/WH1000;DBU/WH;10;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU/WH400;DBU/WH400;DBU/WH;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
GN075;GN075;GN;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
YE075;YE075;YE;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
YE100;YE100;YE;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
WH/BN150;WH/BN150;WH/BN;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
VT250;VT250;VT;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
WH/BU400;WH/BU400;WH/BU;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU/WH050;DBU/WH050;DBU/WH;0,5;;;;;;1;FONT_BLACK_0.50-0.75;;;
BU/WH1000;BU/WH1000;BU/WH;10;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU/WH600;DBU/WH600;DBU/WH;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
PK/WH075;PK/WH075;PK/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
WH/BU100;WH/BU100;WH/BU;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
OG1000;OG1000;OG;10;;;;;;1;FONT_BLACK_4.0-6.0;;;
BU/WH400;BU/WH400;BU/WH;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
BU/WH600;BU/WH600;BU/WH;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
